name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Andover MA,2020-09-26T06:00:00,56.9,56.9,56,96.74,0,,,0,0,,2.8,205,1020.9,47.6,0,,,0,,Partially cloudy,partly-cloudy-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T07:00:00,56.2,56.2,56.1,99.47,0,,,0,0,,3.9,232,1021.2,47.6,0,8,0,0,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T08:00:00,56.4,56.4,56.3,99.37,0,,,0,0,,3.9,223,1021.6,47.6,0.6,39,0.1,0,,Partially cloudy,fog,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T09:00:00,57.3,57.3,57.1,99.31,0,,,0,0,,5.9,204,1021.4,91.7,0.6,78,0.3,1,,Overcast,fog,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T10:00:00,58,58,57.8,99.42,0,,,0,0,,4.6,193,1021.4,91.5,1.1,113,0.4,1,,Overcast,cloudy,"KLWM,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T11:00:00,59.3,59.3,57.8,95.02,0,,,0,0,,3.5,191,1021,100,2.5,139,0.5,1,,Overcast,cloudy,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T12:00:00,62.7,62.7,59,87.57,0,,,0,0,,3.6,300,1020.6,92.2,4.2,201,0.7,2,,Overcast,cloudy,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T13:00:00,67,67,58.9,75.21,0,,,0,0,,4.8,175,1020,43.6,7.2,437,1.6,4,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T14:00:00,70.7,70.7,59.6,67.89,0,,,0,0,,4.1,236,1019.2,41.8,8.9,641,2.3,6,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T15:00:00,74.1,74.1,58.6,58.46,0,,,0,0,,5.1,230,1018.5,3.3,9.9,557,2,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
